ชื่อเครื่องมือ,Serial No.,"
Old_Code
",User,Project/Location,Status,วันที่เครื่องมือถูกเบิก,วันครบกำหนดส่งคืน,จำนวนวันที่เบิกไปแล้ว,สถานะการใช้งาน,สถานะการตรวจสอบ/ซ่อม,สถานะ (พร้อมใช้งาน ≥30 วัน)
ทาวเวอร์เครนบูมกระดก 8 ตัน,E.MJ.CON.010.010.001.0001,TTS2080010011,,คลังสินค้าบางบ่อ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
ทาวเวอร์เครนบูมกระดก 8 ตัน,E.MJ.CON.010.010.001.0002,TTS2080010016,,คลังสินค้าบางบ่อ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
ทาวเวอร์เครนบูมกระดก 8 ตัน,E.MJ.CON.010.010.001.0003,TTS2080010017,,คลังสินค้าบางบ่อ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
ทาวเวอร์เครนบูมกระดก 8 ตัน,E.MJ.CON.010.010.001.0004,TTS2080010018,,คลังสินค้าบางบ่อ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
ทาวเวอร์เครนบูมกระดก 8 ตัน,E.MJ.CON.010.010.001.0005,TTS2080010019,,คลังสินค้าบางบ่อ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
ทาวเวอร์เครนบูมกระดก 10 ตัน,E.MJ.CON.010.010.002.0001,TTS2080010020,,คลังสินค้าบางบ่อ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
ทาวเวอร์เครนบูมกระดก 10 ตัน,E.MJ.CON.010.010.002.0002,TTS2080010021,,คลังสินค้าบางบ่อ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
ทาวเวอร์เครนบูมกระดก 10 ตัน,E.MJ.CON.010.010.002.0003,TTS2080010022,,คลังสินค้าบางบ่อ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
ทาวเวอร์เครนบูมกระดก 10 ตัน,E.MJ.CON.010.010.002.0004,TTS2080010023,,คลังสินค้าบางบ่อ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
ทาวเวอร์เครนบูมกระดก 10 ตัน,E.MJ.CON.010.010.002.0005,TTS2080010024,,คลังสินค้าบางบ่อ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
ทาวเวอร์เครนบูมกระดก 10 ตัน,E.MJ.CON.010.010.002.0006,TTS2080010025,,Bloom Mental Wellness Hospital (BMWH),พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
ทาวเวอร์เครนบูมกระดก 10 ตัน,E.MJ.CON.010.010.002.0007,TTS2080010026,,คลังสินค้าบางบ่อ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
ทาวเวอร์เครนบูมกระดก 10 ตัน,E.MJ.CON.010.010.002.0008,TTS2080010027,,คลังสินค้าบางบ่อ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
ทาวเวอร์เครนบูมกระดก 10 ตัน,E.MJ.CON.010.010.002.0009,TTS2080010028,,ESCENT NAKHON SI,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
ทาวเวอร์เครนบูมกระดก 10 ตัน,E.MJ.CON.010.010.002.0010,TTS2080010029,,คลังสินค้าบางบ่อ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
ทาวเวอร์เครนบูมราบ 8 ตัน,E.MJ.CON.010.011.001.0001,TTS2080010002,,คลังสินค้าบางบ่อ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
ทาวเวอร์เครนบูมราบ 8 ตัน,E.MJ.CON.010.011.001.0002,TTS2080010005,,คลังสินค้าบางบ่อ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
ทาวเวอร์เครนบูมราบ 8 ตัน,E.MJ.CON.010.011.001.0003,TTS2080010008,,คลังสินค้าบางบ่อ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
โมบายเครน 25 ตัน,E.MJ.CON.010.012.001.0001,TTS2110010002,,คลังก่อสร้าง,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
โมบายเครน 25 ตัน,E.MJ.CON.010.012.001.0002,S/N TC4025CC0031,,คลังก่อสร้าง,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
โมบายเครน 60 ตัน,E.MJ.CON.010.012.002.0001,TTS2110010003,,คลังก่อสร้าง,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
โมบายเครน 30 ตัน 4 ล้อ,E.MJ.CON.010.012.003.0001,S/N RC0030CC0556,,คลังก่อสร้าง,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
Gantry Crane ขนาด 5 ตัน,E.MJ.CON.010.013.001.0001,S/N 001,,คลังสินค้าบางบ่อ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
Gantry Crane ขนาด 5 ตัน,E.MJ.CON.010.013.001.0002,S/N 002,,คลังสินค้าบางบ่อ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
Gantry Crane ขนาด 5 ตัน,E.MJ.CON.010.013.001.0003,S/N 0003,,สริน ราชพฤกษ์ สาย1,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
Gantry Crane ขนาด 5 ตัน,E.MJ.CON.010.013.001.0004,S/N 0004,,สริน ราชพฤกษ์ สาย1,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เพลสซิ่งบูม ขนาด 32 ม.,E.MJ.CON.010.020.001.0001,TTS214003001,,คลังสินค้าและบริการ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
ปั๊มคอนกรีต แรงดัน Head 120 ม.,E.MJ.CON.010.020.002.0001,TTS2100070002,,คลังสินค้าและบริการ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
ปั๊มคอนกรีต แรงดัน Head 160 ม.,E.MJ.CON.010.020.003.0001,TTS2100070003,,Bloom Mental Wellness Hospital (BMWH),พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องผสมปูน,E.MJ.CON.010.021.001.0001,TTS213020003,,คลังสินค้าและบริการ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องผสมปูน,E.MJ.CON.010.021.001.0002,TTS213020001,,คลังสินค้าและบริการ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องผสมปูน,E.MJ.CON.010.021.001.0003,TTS213020002,,คลังสินค้าและบริการ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องผสมปูน,E.MJ.CON.010.021.001.0004,TTS213020004,,คลังสินค้าและบริการ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องผสมปูน,E.MJ.CON.010.021.001.0005,S/N 0005,,คลังสินค้าและบริการ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องผสมปูน,E.MJ.CON.010.021.001.0006,S/N 0006,,Bloom Mental Wellness Hospital (BMWH),พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องผสมปูน,E.MJ.CON.010.021.001.0007,S/N 0007,,Baan Sansiri Bangna,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องผสมปูน,E.MJ.CON.010.021.001.0008,S/N 0008,,Baan Sansiri Bangna,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องผสมปูน,E.MJ.CON.010.021.001.0009,S/N 0009,,คลังสินค้าและบริการ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องผสมปูน,E.MJ.CON.010.021.001.0010,S/N 0010,,คลังสินค้าและบริการ,กำลังตรวจสอบ / ซ่อม,29/7/2025,,,,,
เครื่องผสมปูน,E.MJ.CON.010.021.001.0011,S/N 0011,,Prannok-Tadmai (DH2),พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องผสมปูน,E.MJ.CON.010.021.001.0012,E.MJ.CON.010.021.001.0012,,Prannok-Tadmai (DH2),พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องผสมปูน,E.MJ.CON.010.021.001.0013,E.MJ.CON.010.021.001.0013,,คลังสินค้าและบริการ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องผสมปูน,E.MJ.CON.010.021.001.0014,E.MJ.CON.010.021.001.0014,,Bloom Mental Wellness Hospital (BMWH),พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องผสมปูน,E.MJ.CON.010.021.001.0015,E.MJ.CON.010.021.001.0015,,Prannok-Tadmai (DH2),พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องตัดจ๊อย,E.MJ.CON.010.021.002.0001,TTS2100020001,,คลังสินค้าและบริการ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องตัดจ๊อย,E.MJ.CON.010.021.002.0002,TTS2100020002,,คลังสินค้าและบริการ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องตัดจ๊อย,E.MJ.CON.010.021.002.0003,TTS2100020003,,คลังสินค้าและบริการ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องตัดจ๊อย,E.MJ.CON.010.021.002.004,E.MJ.CON.010.021.002.004,,คลังสินค้าและบริการ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องขัดพื้น,E.MJ.CON.010.021.003.0001,TTS4150210001,,คลังสินค้าและบริการ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องขัดพื้น,E.MJ.CON.010.021.003.0003,TTS4150210003,,คลังสินค้าและบริการ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องขัดพื้น,E.MJ.CON.010.021.003.0005,TTS4150210005,,คลังสินค้าและบริการ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องขัดพื้น,E.MJ.CON.010.021.003.0006,TTS4150210006,,Image 49,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องขัดพื้น,E.MJ.CON.010.021.003.0008,TTS4150210008,,คลังสินค้าและบริการ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องขัดพื้น,E.MJ.CON.010.021.003.0009,TTS4150210009,,คลังสินค้าและบริการ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องขัดพื้น,E.MJ.CON.010.021.003.0011,TTS4150210011,,คลังสินค้าและบริการ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องขัดพื้น,E.MJ.CON.010.021.003.0013,TTS4150210013,,คลังสินค้าและบริการ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องขัดพื้น,E.MJ.CON.010.021.003.0015,TTS4150210015,,คลังสินค้าและบริการ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องขัดพื้น,E.MJ.CON.010.021.003.0017,TTS4150210023,,คลังสินค้าและบริการ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องขัดพื้น,E.MJ.CON.010.021.003.0020,TTS4150210026,,คลังสินค้าและบริการ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องขัดพื้น,E.MJ.CON.010.021.003.0021,TTS4150210027,,คลังสินค้าและบริการ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องขัดพื้น,E.MJ.CON.010.021.003.0023,TTS4150210029,,คลังสินค้าและบริการ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องขัดพื้น,E.MJ.CON.010.021.003.0025,TTS4150210031,,คลังสินค้าและบริการ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องขัดพื้น,E.MJ.CON.010.021.003.0026,TTS4150210032,,คลังสินค้าและบริการ,กำลังตรวจสอบ / ซ่อม,29/7/2025,,,,,
เครื่องขัดพื้น,E.MJ.CON.010.021.003.0027,TTS4150210033,,คลังสินค้าและบริการ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องขัดพื้น,E.MJ.CON.010.021.003.0029,TTS4150210035,,Prannok-Tadmai (DH2),พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องขัดพื้น,E.MJ.CON.010.021.003.0030,TTS415510001,,สำนักงานขาย HAUS 5,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องขัดพื้น,E.MJ.CON.010.021.003.0031,S/N FD151222107,,Canopy by Hilton ฺBangkok Sukhumvit (CBH SKV12),พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องขัดพื้น,E.MJ.CON.010.021.003.0032,S/N FD060923188,,Canopy by Hilton ฺBangkok Sukhumvit (CBH SKV12),พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องขัดพื้น,E.MJ.CON.010.021.003.0033,S/N FD150923297,,Bloom Mental Wellness Hospital (BMWH),พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องขัดหน้าคอนกรีตแบบเครื่องยนต์,E.MJ.CON.010.021.005.0001,S/N 0001,,คลังสินค้าและบริการ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
